word,gender,religion,race,age,economic
given,-0.0475,0.0032,0.0328,-0.0285,0.0221
customers,0.0516,0.0512,0.0421,-0.0076,0.002
due,-0.0162,0.0475,0.0503,-0.0084,0.0915
following,-0.0655,-0.0185,0.0562,-0.0004,0.005
term,-0.0611,-0.0084,0.0543,0.0132,0.0671
others,-0.037,-0.0226,-0.0077,0.0066,0.0596
statement,-0.0279,0.0211,0.0339,0.0294,0.0058
international,-0.0123,0.0481,0.0396,-0.0585,-0.0225
economy,-0.0094,-0.0279,-0.0034,0.0624,0.1025
health,0.0903,-0.0136,-0.0056,0.0703,0.1358
thing,-0.0275,-0.0681,-0.0154,0.0028,0.0226
return,-0.0887,-0.0726,0.0112,-0.0371,0.0174
killed,-0.0329,0.0697,0.0278,-0.024,0.0856
further,-0.0,0.0184,0.0721,-0.0469,-0.0528
doing,-0.0284,-0.0376,-0.0147,-0.0619,0.0396
face,-0.0337,0.0065,0.0287,-0.0404,0.0571
low,0.0305,-0.025,0.0851,0.0209,0.0991
higher,0.0192,0.0274,0.0594,0.0529,0.0319
site,0.0409,0.0298,0.0504,0.0614,-0.0096
once,-0.0804,-0.0438,-0.0139,0.0296,-0.0092
yet,-0.0122,-0.039,0.023,0.0002,0.0212
hours,-0.0015,0.072,0.0398,-0.0166,-0.0011
control,-0.044,-0.0274,0.0021,-0.0297,-0.0187
received,-0.0087,0.0539,0.0299,0.0004,-0.0002
rate,0.0239,-0.014,0.0422,0.0067,0.0798
career,-0.0847,-0.1147,-0.0117,-0.0524,0.0039
teams,-0.0625,-0.0515,0.0357,-0.0171,-0.0282
known,-0.033,0.0197,-0.0093,0.0476,-0.0357
offer,-0.0133,-0.0158,0.0435,0.0082,-0.0227
race,-0.0255,-0.0221,0.0327,0.0401,-0.0481
ever,-0.0436,-0.0637,-0.0138,0.0389,-0.0365
experience,-0.0431,-0.1149,0.0277,-0.0286,-0.0909
playing,-0.0889,-0.093,0.039,-0.0879,-0.0442
name,-0.0578,-0.0208,0.0265,0.0057,-0.0222
possible,-0.0321,0.029,0.1087,-0.0137,-0.0118
countries,-0.0211,0.0752,0.1115,0.0068,0.071
average,-0.0173,0.0101,0.0588,0.019,0.0401
together,0.0075,-0.1004,0.0098,-0.0176,-0.0213
using,0.0022,0.0187,0.0318,0.0042,-0.0252
cut,0.0009,0.0004,0.0227,-0.0168,0.1076
total,-0.0241,-0.009,0.0258,-0.0364,0.0072
round,-0.0204,0.0409,0.0033,-0.0502,0.0088
young,-0.0891,-0.0339,0.0127,-0.0563,0.0741
nearly,-0.0367,-0.009,-0.0073,0.0145,0.0502
shares,0.0255,-0.0236,0.0348,-0.0032,0.0556
member,-0.0293,-0.0103,-0.0124,0.0389,0.0008
campaign,-0.0132,-0.0038,-0.0069,0.037,-0.0315
media,-0.0185,0.0287,0.0171,-0.0255,-0.0683
needs,-0.0058,-0.0381,0.006,-0.0126,0.0294
